"","replicate","n_infectors","alpha_mean","phi_alpha","true_mean_gi","true_logmean_gi","true_sdlog_gi","R0","phi_ind_C","phi_C","C_bar","vary_ind_infectiousness","vary_ind_contact_rate","logmean_median","logsd_median","logmean_mean","logmean_upper_95","logmean_lower_95","logmean_median_po","logsd_median_po","logmean_mean_po","logmean_upper_95_po","logmean_lower_95_po"
"1",10,100,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,0.1,20,FALSE,FALSE,1.25942095,0.4268368,1.2588640286,1.3264567925,1.1888877325,1.2257953,0.432192745,1.226368162125,1.2997456875,1.1558807075
"2",1,100,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.28667835,0.455980205,1.28662824125,1.348487995,1.2234624725,1.271041,0.456583905,1.27049676275,1.3320052775,1.2053782375
"3",2,100,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.24826655,0.49043463,1.248911612725,1.3186927125,1.17942188,1.24858595,0.48600569,1.248902029075,1.320485275,1.1792593025
"4",3,100,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.2827958,0.450626515,1.28313906935,1.34275211,1.22407849,1.2867164,0.46295493,1.2874094323,1.3504859025,1.223963915
"5",4,100,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.2171198,0.45496699,1.2175241842,1.2765430325,1.1589074425,1.19438725,0.460783445,1.19482013755,1.2594202325,1.13413826
"6",5,100,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.2914076,0.47848085,1.2916209107,1.35841885,1.2246476625,1.31123715,0.486056655,1.3110481211,1.381999485,1.24455269
"7",6,100,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.22881235,0.45259644,1.22949835085,1.2960043925,1.1649480875,1.23307905,0.441748235,1.232572420825,1.29455668,1.1704488175
"8",7,100,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.28348005,0.488648465,1.282800626475,1.3478565625,1.2156912875,1.2651449,0.492401855,1.265224739125,1.3339173125,1.196206965
"9",8,100,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.256164,0.477888745,1.2563201102,1.3269767825,1.184077035,1.2513718,0.465879375,1.251232771875,1.31957067,1.18422121
"10",9,100,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.21756165,0.495390455,1.218378078675,1.2879037175,1.1477741275,1.20155235,0.495205815,1.2020894164,1.273876925,1.1318505075
