"","replicate","n_infectors","alpha_mean","phi_alpha","true_mean_gi","true_logmean_gi","true_sdlog_gi","R0","phi_ind_C","phi_C","C_bar","vary_ind_infectiousness","vary_ind_contact_rate","logmean_median","logsd_median","logmean_mean","logmean_upper_95","logmean_lower_95","logmean_median_po","logsd_median_po","logmean_mean_po","logmean_upper_95_po","logmean_lower_95_po"
"1",10,100,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.25104,0.4728575,1.2505684,1.31438675,1.18719825,1.24497,0.4690475,1.2446199125,1.30781325,1.1819655
"2",1,100,0.1,0.1,4,1.27472258546279,0.472380727077439,4,2,2,40,FALSE,FALSE,1.276645,0.456895,1.2763682975,1.31889225,1.23391925,1.291305,0.4584075,1.291065285,1.3355715,1.247814
"3",2,100,0.1,0.1,4,1.27472258546279,0.472380727077439,4,2,2,40,FALSE,FALSE,1.267155,0.455797,1.2672099225,1.31294275,1.22083475,1.269935,0.44606,1.2700480625,1.31415025,1.227224
"4",3,100,0.1,0.1,4,1.27472258546279,0.472380727077439,4,2,2,40,FALSE,FALSE,1.323155,0.4792025,1.3224195,1.3677575,1.27641775,1.321955,0.4807465,1.3217170525,1.368034,1.27475975
"5",4,100,0.1,0.1,4,1.27472258546279,0.472380727077439,4,2,2,40,FALSE,FALSE,1.25499,0.4844465,1.255033505,1.2990725,1.20923725,1.249705,0.4885205,1.24985601,1.2958625,1.20377975
"6",5,100,0.1,0.1,4,1.27472258546279,0.472380727077439,4,2,2,40,FALSE,FALSE,1.27842,0.458082,1.2780911425,1.32168075,1.233696,1.282655,0.458384,1.2825845675,1.32568275,1.239369
"7",6,100,0.1,0.1,4,1.27472258546279,0.472380727077439,4,2,2,40,FALSE,FALSE,1.28853,0.4886835,1.2889642475,1.337592,1.24019,1.285075,0.4999225,1.2844890125,1.33587075,1.22947175
"8",7,100,0.1,0.1,4,1.27472258546279,0.472380727077439,4,2,2,40,FALSE,FALSE,1.289175,0.460837,1.2894462025,1.33453025,1.2456485,1.29645,0.464389,1.2966002325,1.34285025,1.25039975
"9",8,100,0.1,0.1,4,1.27472258546279,0.472380727077439,4,2,2,40,FALSE,FALSE,1.232015,0.4576535,1.2321677725,1.2764065,1.189326,1.21471,0.464357,1.214333425,1.25765025,1.16930875
"10",9,100,0.1,0.1,4,1.27472258546279,0.472380727077439,4,2,2,40,FALSE,FALSE,1.303485,0.48636,1.3030702575,1.35018075,1.2549265,1.301685,0.4805505,1.30162298,1.350771,1.252245
"11",10,100,0.1,0.1,4,1.27472258546279,0.472380727077439,4,2,2,40,FALSE,FALSE,1.259085,0.4880475,1.2590621175,1.30794175,1.209902,1.243315,0.4939765,1.24303983,1.29263125,1.1916175
"12",1,100,0.1,0.1,4,1.27472258546279,0.472380727077439,8,2,2,80,FALSE,FALSE,1.312655,0.468757,1.3127229725,1.34509475,1.28120825,1.29718,0.4777,1.2971941,1.3311805,1.2625785
"13",2,100,0.1,0.1,4,1.27472258546279,0.472380727077439,8,2,2,80,FALSE,FALSE,1.27682,0.4624215,1.2769422975,1.308201,1.2451785,1.28296,0.457499,1.282972425,1.31497175,1.2518965
"14",3,100,0.1,0.1,4,1.27472258546279,0.472380727077439,8,2,2,80,FALSE,FALSE,1.26976,0.481759,1.27004069,1.30391,1.23618825,1.283185,0.480115,1.2832449725,1.31791425,1.24927625
"15",4,100,0.1,0.1,4,1.27472258546279,0.472380727077439,8,2,2,80,FALSE,FALSE,1.305795,0.4620955,1.306086695,1.3383505,1.273669,1.30087,0.4509175,1.30087132,1.33077175,1.27034
"16",5,100,0.1,0.1,4,1.27472258546279,0.472380727077439,8,2,2,80,FALSE,FALSE,1.26839,0.469244,1.2682786325,1.29932025,1.23714925,1.26462,0.471125,1.264319305,1.295621,1.23304725
"17",6,100,0.1,0.1,4,1.27472258546279,0.472380727077439,8,2,2,80,FALSE,FALSE,1.273565,0.479654,1.2735695625,1.30759275,1.23873925,1.28253,0.47963,1.28254782,1.31600175,1.248408
"18",7,100,0.1,0.1,4,1.27472258546279,0.472380727077439,8,2,2,80,FALSE,FALSE,1.302795,0.4732185,1.3030347725,1.336134,1.27007925,1.31107,0.4741175,1.3108899825,1.3448105,1.27792725
"19",8,100,0.1,0.1,4,1.27472258546279,0.472380727077439,8,2,2,80,FALSE,FALSE,1.27139,0.4850795,1.271612855,1.305361,1.239318,1.249025,0.495752,1.24904285,1.284713,1.2156195
"20",9,100,0.1,0.1,4,1.27472258546279,0.472380727077439,8,2,2,80,FALSE,FALSE,1.29356,0.461695,1.2936509975,1.32579175,1.26271575,1.286175,0.463041,1.286368825,1.31867025,1.254787
"21",10,100,0.1,0.1,4,1.27472258546279,0.472380727077439,8,2,2,80,FALSE,FALSE,1.29692,0.4775535,1.2969395825,1.328444,1.264029,1.28966,0.481363,1.2899204725,1.32278025,1.25532825
"22",1,100,0.1,0.1,4,1.27472258546279,0.472380727077439,16,2,2,160,FALSE,FALSE,1.27272,0.475252,1.272596795,1.29550075,1.24967825,1.2672,0.482533,1.2670731775,1.29121025,1.24340975
"23",2,100,0.1,0.1,4,1.27472258546279,0.472380727077439,16,2,2,160,FALSE,FALSE,1.263405,0.4864075,1.2630404775,1.285552,1.2391395,1.263115,0.4828905,1.2632317925,1.28729375,1.2400675
"24",3,100,0.1,0.1,4,1.27472258546279,0.472380727077439,16,2,2,160,FALSE,FALSE,1.2784,0.4776975,1.27850584,1.302142,1.2555275,1.28201,0.473946,1.2820369375,1.3057205,1.25798
"25",4,100,0.1,0.1,4,1.27472258546279,0.472380727077439,16,2,2,160,FALSE,FALSE,1.27007,0.468919,1.2699375325,1.29310075,1.245879,1.26903,0.459315,1.268987525,1.2915605,1.24597825
"26",5,100,0.1,0.1,4,1.27472258546279,0.472380727077439,16,2,2,160,FALSE,FALSE,1.26542,0.4733055,1.26560389,1.2895405,1.24259875,1.26612,0.471069,1.26635607,1.28900325,1.24356925
"27",6,100,0.1,0.1,4,1.27472258546279,0.472380727077439,16,2,2,160,FALSE,FALSE,1.27563,0.456245,1.2759019025,1.29849,1.25427975,1.274925,0.4578885,1.2749442975,1.29862025,1.2524295
"28",7,100,0.1,0.1,4,1.27472258546279,0.472380727077439,16,2,2,160,FALSE,FALSE,1.273765,0.4733825,1.273721545,1.29615025,1.250509,1.26562,0.4680475,1.265501625,1.2884135,1.24217
"29",8,100,0.1,0.1,4,1.27472258546279,0.472380727077439,16,2,2,160,FALSE,FALSE,1.26214,0.4805995,1.262084005,1.2860015,1.23757925,1.2835,0.468829,1.28343187,1.30654,1.26010925
"30",9,100,0.1,0.1,4,1.27472258546279,0.472380727077439,16,2,2,160,FALSE,FALSE,1.278795,0.4658415,1.2786972375,1.30302075,1.255179,1.27692,0.457762,1.27697303,1.299411,1.25466975
"31",10,100,0.1,0.1,4,1.27472258546279,0.472380727077439,16,2,2,160,FALSE,FALSE,1.26552,0.4725325,1.265280375,1.2872825,1.24262675,1.28662,0.477423,1.2866969475,1.3110135,1.2627495
"32",1,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.265135,0.500735,1.265226725,1.362521,1.16412725,1.269015,0.5215035,1.269598995,1.3749415,1.16512875
"33",2,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.219185,0.441475,1.21879232,1.2991715,1.1338095,1.211235,0.4398275,1.210211365,1.28820975,1.12915125
"34",3,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.32091,0.468433,1.3205466725,1.4143725,1.22380975,1.307315,0.470383,1.30692287,1.40212475,1.21249725
"35",4,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.22374,0.5105215,1.2238585725,1.3186245,1.131864,1.206105,0.5199165,1.20614065,1.307557,1.104659
"36",5,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.254755,0.4472615,1.2553654075,1.34343125,1.16802975,1.24183,0.464552,1.241685405,1.33668375,1.14933925
"37",6,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.245925,0.4444485,1.2460356225,1.32998225,1.165909,1.25931,0.464792,1.2587274375,1.34532875,1.17038525
"38",7,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.36994,0.4839485,1.369060815,1.4650955,1.27568425,1.358245,0.4847765,1.3581292625,1.4549505,1.2584495
"39",8,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.264865,0.4194925,1.264582455,1.3488105,1.179589,1.247495,0.422662,1.2482604775,1.33392425,1.1617375
"40",9,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.22248,0.502142,1.22251412,1.32567325,1.12069975,1.20821,0.4960535,1.20824481,1.308626,1.10868575
"41",10,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.2293,0.5072565,1.229629215,1.326341,1.135505,1.23848,0.5124595,1.2383138275,1.328931,1.143354
"42",1,50,0.1,0.1,4,1.27472258546279,0.472380727077439,4,2,2,40,FALSE,FALSE,1.281665,0.4801465,1.281783785,1.34206125,1.22157625,1.27753,0.479298,1.277649735,1.339547,1.21544925
"43",2,50,0.1,0.1,4,1.27472258546279,0.472380727077439,4,2,2,40,FALSE,FALSE,1.25224,0.442136,1.251470705,1.3115675,1.187215,1.257685,0.428065,1.2581437075,1.31789275,1.20136875
"44",3,50,0.1,0.1,4,1.27472258546279,0.472380727077439,4,2,2,40,FALSE,FALSE,1.265815,0.4488215,1.26576514,1.32754175,1.20428775,1.254275,0.4395475,1.2538770225,1.3138625,1.19250925
"45",4,50,0.1,0.1,4,1.27472258546279,0.472380727077439,4,2,2,40,FALSE,FALSE,1.259675,0.470958,1.2596886875,1.32761425,1.19378525,1.24646,0.484356,1.24655093,1.3165005,1.174829
"46",5,50,0.1,0.1,4,1.27472258546279,0.472380727077439,4,2,2,40,FALSE,FALSE,1.31616,0.5054585,1.3162124125,1.386704,1.24627725,1.30521,0.5173305,1.30591395,1.37715125,1.234475
"47",6,50,0.1,0.1,4,1.27472258546279,0.472380727077439,4,2,2,40,FALSE,FALSE,1.274395,0.499206,1.2742495425,1.34674075,1.20310175,1.28875,0.499874,1.2884651775,1.3610925,1.21587975
"48",7,50,0.1,0.1,4,1.27472258546279,0.472380727077439,4,2,2,40,FALSE,FALSE,1.251045,0.49283,1.2512356825,1.322713,1.183944,1.264945,0.4910475,1.26499875,1.3318555,1.196038
"49",8,50,0.1,0.1,4,1.27472258546279,0.472380727077439,4,2,2,40,FALSE,FALSE,1.186025,0.4519395,1.18580852,1.24840475,1.12617825,1.183755,0.4429695,1.184013485,1.24304075,1.12492625
"50",9,50,0.1,0.1,4,1.27472258546279,0.472380727077439,4,2,2,40,FALSE,FALSE,1.269835,0.441794,1.270089475,1.3380605,1.2053725,1.257085,0.43508,1.257260325,1.3182545,1.19754
