"","replicate","n_infectors","alpha_mean","phi_alpha","true_mean_gi","true_logmean_gi","true_sdlog_gi","R0","phi_ind_C","phi_C","C_bar","vary_ind_infectiousness","vary_ind_contact_rate","logmean_median","logsd_median","logmean_mean","logmean_upper_95","logmean_lower_95","logmean_median_po","logsd_median_po","logmean_mean_po","logmean_upper_95_po","logmean_lower_95_po"
"1",10,100,0.1,0.1,4,1.27472258546279,0.472380727077439,2,0.1,2,20,FALSE,TRUE,1.26934,0.4452005,1.270002025,1.33046125,1.2105675,1.26577,0.470543,1.265397925,1.33365175,1.19702925
"2",1,100,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,TRUE,1.280305,0.4962515,1.2807656425,1.34942075,1.2125295,1.30486,0.492422,1.3049067475,1.3738705,1.236944
"3",2,100,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,TRUE,1.29148,0.468889,1.2916119775,1.351391,1.2292,1.286535,0.4737635,1.2858435925,1.35030525,1.2210155
"4",3,100,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,TRUE,1.26693,0.4629245,1.2672841475,1.32677025,1.2067675,1.268295,0.461433,1.2684046825,1.32820175,1.21107825
"5",4,100,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,TRUE,1.28879,0.457277,1.288727885,1.35042275,1.2262945,1.29112,0.4544255,1.29137917,1.3546705,1.229226
"6",5,100,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,TRUE,1.287785,0.472283,1.288084065,1.351474,1.2251495,1.30801,0.4818325,1.3079399575,1.37484,1.243248
"7",6,100,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,TRUE,1.233055,0.49254,1.2334601925,1.3029385,1.1677685,1.24175,0.5077,1.2418565425,1.3149105,1.166648
"8",7,100,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,TRUE,1.27939,0.454197,1.279228305,1.3386975,1.217606,1.29575,0.436759,1.29559852,1.353373,1.23684975
"9",8,100,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,TRUE,1.221655,0.511976,1.22124306,1.283731,1.1591685,1.2511,0.5189765,1.251158785,1.31849625,1.18440875
"10",9,100,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,TRUE,1.3274,0.4962405,1.3266121975,1.3979305,1.25670525,1.32202,0.491579,1.3219115575,1.39268225,1.24953975
"11",10,100,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,TRUE,1.29192,0.4804885,1.2917780975,1.357326,1.22475775,1.298345,0.4835625,1.2979415175,1.36367075,1.23017575
"12",1,100,0.1,0.1,4,1.27472258546279,0.472380727077439,2,20,2,20,FALSE,TRUE,1.297375,0.479159,1.29768869,1.36377325,1.2334575,1.30798,0.4824255,1.3079597875,1.37896175,1.23707
"13",2,100,0.1,0.1,4,1.27472258546279,0.472380727077439,2,20,2,20,FALSE,TRUE,1.31512,0.4773035,1.3148984675,1.380801,1.250586,1.313625,0.4718665,1.3134688675,1.38225125,1.24752875
"14",3,100,0.1,0.1,4,1.27472258546279,0.472380727077439,2,20,2,20,FALSE,TRUE,1.270355,0.4593155,1.270677975,1.336456,1.2084085,1.27588,0.4562465,1.2757601875,1.337764,1.2126165
"15",4,100,0.1,0.1,4,1.27472258546279,0.472380727077439,2,20,2,20,FALSE,TRUE,1.2609,0.493405,1.2610536,1.32913175,1.19487725,1.262255,0.5014965,1.2614656675,1.3285,1.1944095
"16",5,100,0.1,0.1,4,1.27472258546279,0.472380727077439,2,20,2,20,FALSE,TRUE,1.24003,0.4760845,1.2397769975,1.30279125,1.177114,1.222405,0.48348,1.2226396625,1.28804225,1.15887575
"17",6,100,0.1,0.1,4,1.27472258546279,0.472380727077439,2,20,2,20,FALSE,TRUE,1.241045,0.467221,1.2405569575,1.3048205,1.1746685,1.25889,0.4660075,1.25856598,1.3242735,1.194369
"18",7,100,0.1,0.1,4,1.27472258546279,0.472380727077439,2,20,2,20,FALSE,TRUE,1.279665,0.4930315,1.2793411575,1.3429385,1.2159075,1.272295,0.4964845,1.2719904375,1.3361785,1.203709
"19",8,100,0.1,0.1,4,1.27472258546279,0.472380727077439,2,20,2,20,FALSE,TRUE,1.249175,0.4798255,1.24910037,1.31526525,1.18354675,1.236725,0.481199,1.2371952825,1.3035005,1.1730335
"20",9,100,0.1,0.1,4,1.27472258546279,0.472380727077439,2,20,2,20,FALSE,TRUE,1.252865,0.4524855,1.2523672375,1.31921675,1.18678425,1.25057,0.4460335,1.2504589,1.3140145,1.1855795
"21",10,100,0.1,0.1,4,1.27472258546279,0.472380727077439,2,20,2,20,FALSE,TRUE,1.270225,0.4566695,1.27075224,1.32745275,1.21447725,1.275215,0.44672,1.27551463,1.331436,1.22037825
"22",1,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,0.1,2,20,FALSE,TRUE,1.242375,0.495919,1.2432008575,1.3428075,1.14550325,1.285015,0.5341295,1.2844646625,1.39266425,1.17299725
"23",2,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,0.1,2,20,FALSE,TRUE,1.36661,0.4952165,1.3676208025,1.498457,1.23795225,1.40759,0.502432,1.406195485,1.534616,1.272566
"24",3,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,0.1,2,20,FALSE,TRUE,1.28419,0.4953005,1.28187733,1.40791825,1.151437,1.337585,0.5100205,1.3359633725,1.46756025,1.19740775
"25",4,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,0.1,2,20,FALSE,TRUE,1.259865,0.434196,1.258476595,1.35773175,1.16049175,1.22681,0.4347845,1.2270793875,1.32611075,1.130565
"26",5,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,0.1,2,20,FALSE,TRUE,1.337105,0.487295,1.336595735,1.4447445,1.223228,1.37198,0.4774875,1.3705346975,1.47110175,1.26696725
"27",6,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,0.1,2,20,FALSE,TRUE,1.24872,0.4907815,1.249992555,1.377542,1.12556675,1.213905,0.5082715,1.21322662325,1.3463725,1.07956725
"28",7,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,0.1,2,20,FALSE,TRUE,1.253305,0.4468985,1.253178055,1.3280935,1.17717625,1.21846,0.4832725,1.2192342525,1.30914225,1.13305625
"29",8,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,0.1,2,20,FALSE,TRUE,1.336885,0.5343965,1.3343461875,1.50265525,1.16634675,1.279265,0.549405,1.2772120625,1.45168225,1.09715775
"30",9,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,0.1,2,20,FALSE,TRUE,1.30558,0.388746,1.30376845,1.403168,1.19988775,1.319585,0.389613,1.31958299,1.42271125,1.21477525
"31",10,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,0.1,2,20,FALSE,TRUE,1.21258,0.4708975,1.21228765,1.29119025,1.13573925,1.228145,0.435934,1.228797235,1.29511175,1.16313975
"32",1,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,TRUE,1.239905,0.5305255,1.239820415,1.34480875,1.13471625,1.24871,0.5254875,1.2480194,1.3565845,1.13948625
